"","state_abbr","favor_dem","month","newcases_per100k_avg"
"1","AL",0,3,16.5890139252987
"2","AL",0,4,140.636133823064
"3","AL",0,5,264.118781834636
"4","AL",0,6,403.135399333422
"5","AL",0,7,960.814430123408
"6","AL",0,8,819.131113042253
"7","AL",0,9,608.943990527999
"8","AL",0,10,877.398147272054
"9","AL",0,11,1145.88432737388
"10","AL",1,3,13.9451367615041
"11","AL",1,4,294.917039619794
"12","AL",1,5,781.615965206138
"13","AL",1,6,962.532594929626
"14","AL",1,7,1219.98935372005
"15","AL",1,8,762.825373497859
"16","AL",1,9,362.095501695262
"17","AL",1,10,655.436722909929
"18","AL",1,11,862.355477038557
"19","AK",0,3,8.33233045512881
"20","AK",0,4,14.414502722899
"21","AK",0,5,14.2746535269221
"22","AK",0,6,174.685064613383
"23","AK",0,7,357.315252157278
"24","AK",0,8,281.076222735265
"25","AK",0,9,289.732931603854
"26","AK",0,10,641.877853674873
"27","AK",0,11,1248.33922298982
"28","AZ",1,3,25.5754819574395
"29","AZ",1,4,262.622600913452
"30","AZ",1,5,676.311002841096
"31","AZ",1,6,1319.93498962265
"32","AZ",1,7,1053.57451473918
"33","AZ",1,8,375.326430209805
"34","AZ",1,9,392.090080814224
"35","AZ",1,10,542.551485494322
"36","AZ",1,11,1625.64284647026
"37","AZ",0,3,14.5093970371326
"38","AZ",0,4,88.0649932047627
"39","AZ",0,5,220.024819395094
"40","AZ",0,6,764.439614804058
"41","AZ",0,7,993.523920869148
"42","AZ",0,8,355.53283791245
"43","AZ",0,9,202.436973968059
"44","AZ",0,10,505.095147085621
"45","AZ",0,11,1387.81651969128
"46","AR",0,3,15.0818085888956
"47","AR",0,4,136.513807948519
"48","AR",0,5,97.6248329992602
"49","AR",0,6,302.932561059703
"50","AR",0,7,594.179179610106
"51","AR",0,8,675.548815403235
"52","AR",0,9,674.632615703495
"53","AR",0,10,1008.77410151787
"54","AR",0,11,1577.88181422496
"55","AR",1,3,17.7935117167175
"56","AR",1,4,157.066178095696
"57","AR",1,5,468.476981563395
"58","AR",1,6,1388.9365268749
"59","AR",1,7,1438.1173251966
"60","AR",1,8,1405.75263140877
"61","AR",1,9,785.7417088607
"62","AR",1,10,968.936194158579
"63","AR",1,11,1214.01722374219
"64","CA",1,3,19.6225961216927
"65","CA",1,4,69.5090841794515
"66","CA",1,5,98.8199156077268
"67","CA",1,6,265.369159170089
"68","CA",1,7,584.567025628192
"69","CA",1,8,503.635624241561
"70","CA",1,9,260.975707723213
"71","CA",1,10,252.697682246127
"72","CA",1,11,798.628252651616
"73","CA",0,3,6.31570582029648
"74","CA",0,4,22.5524667648871
"75","CA",0,5,53.6477726527029
"76","CA",0,6,167.089826525992
"77","CA",0,7,477.43467545355
