"","favor_dem","month","newdeaths_per100k_avg"
"1",0,3,0.33008301687847
"2",0,4,4.38241554386923
"3",0,5,4.88599227719027
"4",0,6,3.51053011169375
"5",0,7,5.88519769848138
"6",0,8,9.20233591652614
"7",0,9,9.55696964485459
"8",0,10,14.532214426692
"9",0,11,24.0440162496887
"10",1,3,1.11024800468325
"11",1,4,15.1517337962033
"12",1,5,14.2849983753247
"13",1,6,9.01754092946152
"14",1,7,10.7021458972294
"15",1,8,13.0788359785041
"16",1,9,10.9611038995161
"17",1,10,9.03332320318551
"18",1,11,12.3431608499795
