"","favor_dem","month","newcases_per100k_avg"
"1",0,3,12.9664515800194
"2",0,4,108.259536527327
"3",0,5,147.364908830669
"4",0,6,173.289783871621
"5",0,7,432.334632919562
"6",0,8,455.636374428076
"7",0,9,508.51895995504
"8",0,10,940.512001751299
"9",0,11,1890.99302242735
"10",1,3,50.6252663273738
"11",1,4,258.605278661239
"12",1,5,261.305488936838
"13",1,6,299.081264030783
"14",1,7,596.100434836231
"15",1,8,528.661294451173
"16",1,9,413.680231718572
"17",1,10,588.462628491357
"18",1,11,1213.4301053173
